id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,17,27,,15,,,
2,16,8,16,,,,
3,14,24,,16,,,
4,3,29,17,,,,
5,19,23,,17,,,
6,1,20,18,,,,
7,9,11,,18,,,
8,10,28,,19,,,
9,12,26,19,,,,
10,6,21,,20,,,
11,4,13,20,,,,
12,30,15,,21,,,
13,7,22,21,,,,
14,25,18,,22,,,
15,5,,23,,,,
16,,,,23,,,
17,,,24,,,,
18,,,,24,,,
19,,,,25,,,
20,,,25,,,,
21,,,,26,,,
22,2,,26,,,,
23,,,27,,,,
24,,,,27,,,
25,,,,28,,,
26,,,28,,,,
27,,,30,,,,
28,,,,30,,,
29,,,,,,,
30,,,,,,,