"id","group_id","round","main_score","sub1_score","sub2_score","penalty","retire"
10,17,2,4.7,4.7,5.7,,0
15,6,2,8.5,7.9,7.5,,0
11,1,2,7.1,6.8,6.8,,0
17,8,2,8.4,7.7,6.8,,0
12,12,2,7.3,6.4,5.9,,0
13,14,2,9.2,7.8,7.7,,0
18,7,3,7.3,6.5,6,,0
19,8,3,7.9,6.8,6.3,0,0
20,13,3,7.2,6.9,7,0,0
21,6,3,8,7.7,7.4,0,0
22,9,3,7.9,8.1,7.6,0,0
23,14,3,8.2,8.3,7.3,0,0
1,2,1,7.3,6.2,6,,0
2,11,1,7.4,7,5.8,,0
3,7,1,7.2,7.4,6.7,,0
4,5,1,5.7,5.5,5,,0
5,16,1,6.8,6.5,6.1,,0
6,13,1,7.9,7.1,6.8,,0
7,15,1,6.3,6.4,5.5,,0
8,9,1,8,7.9,7.1,,0
16,10,2,,,,,1
9,4,2,4.5,5.6,5.3,,0
14,3,2,5,5.8,5.6,,0