"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
17,21,14,,20,0,,
19,6,18,21,,2,,
20,19,14,23,,3,,
21,6,9,,23,0,,
22,14,6,,,0,0,0
23,19,9,,,1,0,0
4,22,12,12,,3,0,0
5,5,20,,13,3,0,0
1,2,7,9,,-1,1,0
6,16,15,14,,3,0,0
2,10,21,,10,1,0,0
7,13,6,,15,0,0,0
3,4,23,11,,3,0,0
12,22,9,,18,1,,0
8,19,17,16,,3,0,0
13,1,5,18,,2,0,
9,7,11,,16,3,,0
14,16,18,,19,0,,0
10,8,21,17,,0,0,
15,3,6,19,,0,0,
11,4,14,,17,1,,0
16,19,7,20,,3,,
18,1,9,,21,0,,