id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,7,8,7,,,,
2,16,17,11,,,,
3,34,33,,19,,,
4,1,2,20,,,,
5,3,4,,20,,,
6,5,6,21,,,,
7,,9,,21,,,
8,10,11,22,,,,
9,12,13,,22,,,
10,14,15,23,,,,
11,,18,,23,,,
12,20,19,,24,,,
13,22,21,24,,,,
14,24,23,,25,,,
15,26,25,25,,,,
16,28,27,,26,,,
17,30,29,26,,,,
18,32,31,,27,,,
19,35,,27,,,,
20,,,28,,,,
21,,,,28,,,
22,,,29,,,,
23,,,,29,,,
24,,,,30,,,
25,,,30,,,,
26,,,,31,,,
27,,,31,,,,
28,,,32,,,,
29,,,,32,,,
30,,,,33,,,
31,,,33,,,,
32,,,35,,,,
33,,,,35,,,
34,,,,,,,
35,,,,,,,